#,Material Name,Formula,Category,CAS No.,T_min (K),T_max (K),A,B,C,D,E,a0,a1,a2,a3,Poly R²,Cp @298K (J/kg·K),Molar Mass (g/mol),Density (kg/m³),Data Source,Phase / Notes
97,Silicon (SC),Si,Semiconductors,7440-21-3,298,1685,22.81719,3.89951,-0.082885,0.042111,-0.354063,541.142,0.8084,-0.000565889,1.57E-07,0.996628,711.77,28.085,2329,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid — same Shomate as metallic Si
98,Germanium (SC),Ge,Semiconductors,7440-56-4,298,1211,23.3497,0.00655,2.97968,0.03581,-0.66882,53.0402,0.820467,-0.000839202,3.18E-07,0.996709,319.7,72.63,5323,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
99,Gallium Arsenide (GaAs),GaAs,Semiconductors,1303-00-0,298,1511,46.63,4.94,-0.378,0.04,-0.527,235.764,0.26384,-0.000212262,6.36E-08,0.995865,325.07,144.645,5320,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
100,Gallium Phosphide (GaP),GaP,Semiconductors,12063-98-8,298,1750,45.83,4.45,-0.21,0.024,-0.515,348.799,0.300075,-0.000211092,5.62E-08,0.994768,451.86,100.696,4138,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
101,Indium Phosphide (InP),InP,Semiconductors,22398-80-7,298,1335,45.82,4.75,-0.24,0.026,-0.48,226.58,0.284541,-0.00025362,8.43E-08,0.997019,316.2,145.792,4810,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
102,Indium Arsenide (InAs),InAs,Semiconductors,1303-11-3,298,1215,46.79,4.87,-0.26,0.028,-0.5,170.014,0.259229,-0.000251382,9.00E-08,0.997525,248.76,189.74,5670,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
103,Indium Antimonide (InSb),InSb,Semiconductors,1312-41-0,298,800,47.83,5.12,-0.39,0.045,-0.45,120.36,0.343204,-0.000459762,2.25E-07,0.999473,209.23,236.578,5770,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
104,Cadmium Telluride (CdTe),CdTe,Semiconductors,1306-25-8,298,1365,48.77,5.94,-0.45,0.05,-0.42,157.53,0.154099,-0.000129149,4.20E-08,0.997861,207.07,240.01,6200,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
105,Lead Telluride (PbTe),PbTe,Semiconductors,1314-91-6,298,1197,49.78,5.65,-0.32,0.036,-0.51,103.797,0.155061,-0.000150458,5.45E-08,0.997896,151.05,334.8,8160,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
106,Zinc Selenide (ZnSe),ZnSe,Semiconductors,1315-09-9,298,1798,44.6,5.36,-0.29,0.034,-0.52,235.893,0.209821,-0.000140162,3.64E-08,0.995639,317.28,144.35,5260,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
107,Molybdenum Disulfide (MoS₂),MoS2,Semiconductors,1317-33-5,298,1500,62.77,17.97,-4.09,0.492,-2.12,75.184,0.956831,-0.000800649,2.39E-07,0.994055,397.26,160.07,5060,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, 2H phase"
108,Bismuth Telluride (Bi₂Te₃),Bi2Te3,Semiconductors,1304-82-1,298,858,123.85,15.32,-3.16,0.31,-3.25,-8.70844,0.635296,-0.000842264,3.92E-07,0.998705,152.73,800.76,7860,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, thermoelectric"
109,Gallium Nitride (GaN),GaN,Semiconductors,25617-97-4,298,2800,38,15.3,-3,0.3,-1.1,274.717,0.493206,-0.00021027,3.48E-08,0.993763,421.59,83.73,6150,NIST / Barin (1993),"Solid, wurtzite; literature fit"
110,Silicon Carbide (SiC) SC,SiC,Semiconductors,409-21-2,298,1000,20.5586,64.5796,-52.9883,16.9581,-0.7818,-166.758,3.94813,-0.00418956,1.62E-06,0.999523,667.4,40.096,3210,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, wide-bandgap SC 298-1000 K"
111,Aluminium Nitride (AlN) SC,AlN,Semiconductors,24304-00-5,298,900,17.2326,85.6381,-83.2729,29.6343,-0.5379,-84.5216,3.94026,-0.00447093,1.82E-06,0.999804,734.34,40.989,3260,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, wide-bandgap SC 298-900 K"
112,Stainless Steel 304,Fe-Cr18Ni8,Metals & Alloys,,273,1673,,,,,,462,0.1375,0,0,,500,,7900,Kim (1975) ANL-75-55; NIST SRM 1155a,Austenitic SS; Cp=462+0.1375T
113,Stainless Steel 316,Fe-Cr17Ni12Mo2,Metals & Alloys,,273,1673,,,,,,468,0.122,0,0,,502,,7980,Kim (1975) ANL-75-55; Leitner 2020,Austenitic SS
114,Stainless Steel 310,Fe-Cr25Ni20,Metals & Alloys,,273,1600,,,,,,472,0.12,0,0,,508,,7900,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Austenitic SS
115,Stainless Steel 321,Fe-Cr18Ni10Ti,Metals & Alloys,,273,1600,,,,,,461,0.135,0,0,,498,,7900,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Austenitic Ti-stabilised
116,Stainless Steel 410,Fe-Cr13,Metals & Alloys,,273,1500,,,,,,452,0.145,0,0,,490,,7740,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Martensitic SS
117,Stainless Steel 430,Fe-Cr17,Metals & Alloys,,273,1500,,,,,,456,0.138,0,0,,492,,7700,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Ferritic SS
118,Carbon Steel,Fe-C(0.5%),Metals & Alloys,,273,1400,,,,,,371.8,0.5165,-0.000263,0,,481,,7854,Incropera & DeWitt (2011) Table A.1; Touloukian Vol.4,0.5% C
119,Mild Steel (0.1% C),Fe-C(0.1%),Metals & Alloys,,273,1400,,,,,,374,0.5,-0.00024,0,,488,,7860,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Low-carbon steel
120,Grey Cast Iron,Fe-C-Si,Metals & Alloys,,273,1300,,,,,,291.62,0.637,-0.000194,0,,461,,7200,Touloukian TPMD Vol. 4,"3-3.5%C, 1.5-2.5%Si"
121,Ductile Iron,Fe-C-Si (nodular),Metals & Alloys,,273,1300,,,,,,295,0.62,-0.000185,0,,462,,7100,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Spheroidal graphite iron
122,Tool Steel (H13),Fe-C-Cr-Mo-V,Metals & Alloys,,298,1200,,,,,,401,0.19,0,0,,460,,7800,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),H13 hot-work tool steel
123,Maraging Steel (18Ni),Fe-Ni18-Co,Metals & Alloys,,298,1200,,,,,,412,0.13,0,0,,452,,8000,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),18Ni-250 grade
124,Inconel 600,Ni-Cr16-Fe8,Metals & Alloys,,298,1500,,,,,,352,0.255,-6.00E-05,0,,444,,8470,Special Metals Corp. SMC-027,Ni-Cr-Fe alloy
125,Inconel 625,Ni-Cr22-Mo9,Metals & Alloys,,298,1450,,,,,,360,0.23,-5.20E-05,0,,410,,8440,Special Metals Corp. SMC-063,Ni-Cr-Mo alloy
126,Inconel 718,Ni-Cr19-Fe18-Nb,Metals & Alloys,,298,1450,,,,,,363,0.21,-4.90E-05,0,,435,,8190,Special Metals Corp. SMC-045,Precipitation-hardened Ni alloy
127,Hastelloy C-276,Ni-Mo16-Cr15-W4,Metals & Alloys,,298,1400,,,,,,372,0.15,0,0,,427,,8890,Haynes International H-2002C,Ni-Mo-Cr alloy
128,Monel 400,Ni-Cu30,Metals & Alloys,,298,1500,,,,,,381,0.12,0,0,,427,,8800,Special Metals Corp.,Ni-Cu alloy
129,Nichrome (80/20),Ni-Cr20,Metals & Alloys,,298,1400,,,,,,402,0.105,0,0,,450,,8400,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Resistance heating alloy
130,Constantan,Cu-Ni45,Metals & Alloys,,298,1500,,,,,,368,0.08,0,0,,390,,8900,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Thermocouple alloy
131,Cupronickel 90/10,Cu-Ni10,Metals & Alloys,,298,1400,,,,,,355,0.075,0,0,,377,,8900,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Naval alloy
132,Cupronickel 70/30,Cu-Ni30,Metals & Alloys,,298,1400,,,,,,362,0.08,0,0,,377,,8940,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Naval alloy
133,Brass (70Cu-30Zn),Cu-Zn30,Metals & Alloys,,298,1173,,,,,,356,0.078,0,0,,380,,8530,Touloukian TPMD Vol. 4,Yellow brass
134,Bronze (90Cu-10Sn),Cu-Sn10,Metals & Alloys,,298,1173,,,,,,349,0.082,0,0,,380,,8800,Touloukian TPMD Vol. 4,Phosphor bronze
135,Aluminium 2024,Al-Cu4.4Mg1.5,Metals & Alloys,,298,775,,,,,,617,0.86,-0.00058,0,,875,,2780,Touloukian TPMD Vol. 4,T3 temper
136,Aluminium 6061,Al-Mg1Si0.6,Metals & Alloys,,298,855,,,,,,603,0.91,-0.0006,0,,896,,2700,Touloukian TPMD Vol. 4,T6 temper
137,Aluminium 7075,Al-Zn5.6Mg2.5,Metals & Alloys,,298,750,,,,,,617,0.96,-0.00068,0,,960,,2810,Touloukian TPMD Vol. 4,T6 temper
138,Magnesium AZ31,Mg-Al3Zn1,Metals & Alloys,,298,850,,,,,,908,0.37,0,0,,1020,,1770,ASM Handbook Vol. 2/4; Touloukian TPMD (1970),Wrought Mg alloy
139,Ti-6Al-4V (Grade 5),Ti-Al6V4,Metals & Alloys,,298,1893,,,,,,425,0.485,-0.000152,0,,526,,4430,Touloukian TPMD Vol.4; Boivineau 2006 Int.J.Thermophys.,Alpha-beta Ti alloy
140,Zircaloy-4,Zr-Sn1.5Fe0.2Cr0.1,Metals & Alloys,,298,2000,,,,,,175,0.302,-6.25E-05,0,,285,,6560,IAEA-TECDOC-1496 (2006); Hagrman MATPRO,Nuclear cladding alloy
141,Fused Silica Glass,SiO2 (amorphous),Glasses,60676-86-0,298,1600,,,,,,627,0.297,-5.10E-05,0,,741,,2203,Bansal & Doremus (1986) Handbook of Glass Properties,Cp=627+0.297T-5.1e-5*T^2 J/(kg·K)
142,Soda-Lime Glass,SiO2-Na2O-CaO,Glasses,,298,1100,,,,,,729,0.24,0,0,,840,,2500,Bansal & Doremus (1986) Handbook of Glass Properties,72%SiO2-14%Na2O-10%CaO
143,Borosilicate Glass,SiO2-B2O3-Na2O,Glasses,,298,1400,,,,,,720,0.22,0,0,,830,,2230,Schott AG; Bansal & Doremus (1986) Handbook of Glass Properties,Pyrex/Duran type
144,Aluminosilicate Glass,SiO2-Al2O3,Glasses,,298,1600,,,,,,700,0.21,0,0,,800,,2530,Bansal & Doremus (1986) Handbook of Glass Properties,High-silica aluminosilicate
145,Lead Glass,SiO2-PbO,Glasses,,298,1000,,,,,,440,0.11,0,0,,500,,4800,Bansal & Doremus (1986) Handbook of Glass Properties,54%PbO type
146,Bioactive Glass 45S5,SiO2-CaO-Na2O-P2O5,Glasses,,298,1300,,,,,,707,0.204,0,0,,800,,2700,Hench (1971); Brauer (2008),45S5 composition
147,E-Glass Fibre,SiO2-Al2O3-CaO-B2O3,Glasses,,298,1100,,,,,,697,0.19,0,0,,800,,2580,Owens-Corning; Bansal & Doremus (1986) Handbook of Glass Properties,Standard reinforcement fibre
148,S-Glass Fibre,SiO2-Al2O3-MgO,Glasses,,298,1100,,,,,,635,0.185,0,0,,735,,2490,Owens-Corning; Bansal & Doremus (1986) Handbook of Glass Properties,High-strength fibre
149,Lithium Silicate Glass,Li2O-SiO2,Glasses,,298,1200,,,,,,855,0.26,0,0,,980,,2450,Bansal & Doremus (1986) Handbook of Glass Properties,Li2O·2SiO2
150,Sodium Silicate Glass,Na2O-SiO2,Glasses,,298,1200,,,,,,756,0.223,0,0,,870,,2480,Bansal & Doremus (1986) Handbook of Glass Properties,Na2O·2SiO2
151,Barium Silicate Glass,BaO-SiO2,Glasses,,298,1100,,,,,,438,0.14,0,0,,520,,4050,Bansal & Doremus (1986) Handbook of Glass Properties,BaO·2SiO2
152,Polyethylene HDPE — solid,(C2H4)n,Polymers,9002-88-4,250,395,,,,,,430,3.45,0,0,,1940,,955,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Chang & Bestul (1973),Solid; Tg~153K Tm~405K
153,Polyethylene HDPE — melt,(C2H4)n,Polymers,9002-88-4,405,550,,,,,,2090,1.92,0,0,,2800,,760,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Liquid above Tm=405K
154,Polyethylene LDPE — solid,(C2H4)n,Polymers,9002-88-4,230,380,,,,,,388,3.9,0,0,,2300,,920,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Solid; Tm~378K
155,Polypropylene (iPP) — solid,(C3H6)n,Polymers,9003-07-0,250,440,,,,,,443,3.15,0,0,,1925,,910,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1981),Solid; Tg~271K Tm~449K
156,Polypropylene (iPP) — melt,(C3H6)n,Polymers,9003-07-0,449,550,,,,,,2200,1.6,0,0,,2920,,760,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Liquid above Tm=449K
157,Polystyrene (PS) — solid,(C8H8)n,Polymers,9003-53-6,170,370,,,,,,555,2.08,0,0,,1305,,1050,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur et al. (1982),Solid; Tg~373K
158,Polystyrene (PS) — melt,(C8H8)n,Polymers,9003-53-6,373,600,,,,,,1400,1.2,0,0,,1840,,970,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Melt/rubbery above Tg
159,Polyvinyl Chloride (PVC),(C2H3Cl)n,Polymers,9002-86-2,233,350,,,,,,410,1.99,0,0,,1005,,1400,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1980),Solid; Tg~354K
160,PTFE,(C2F4)n,Polymers,9002-84-0,250,600,,,,,,-230,5.42,-0.0047,0,,1005,,2200,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Eby & Wilson (1962),Solid; transitions at 292K & 303K
161,PET — solid,(C10H8O4)n,Polymers,25038-59-9,233,540,,,,,,480,2.43,0,0,,1200,,1380,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1982),Solid; Tg~345K Tm~540K
162,PET — melt,(C10H8O4)n,Polymers,25038-59-9,540,650,,,,,,1400,0.95,0,0,,1915,,1200,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Liquid above Tm
163,PBT,(C12H12O4)n,Polymers,24968-12-5,233,500,,,,,,490,2.37,0,0,,1190,,1310,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Solid; Tg~316K Tm~498K
164,Polycarbonate (PC),(C16H14O3)n,Polymers,25037-45-0,233,420,,,,,,570,2.15,0,0,,1207,,1200,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1984),Solid; Tg~420K
165,PMMA,(C5H8O2)n,Polymers,9011-14-7,233,390,,,,,,620,2.8,0,0,,1460,,1190,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Solid; Tg~378K
166,Nylon 6 (PA6),(C6H11NO)n,Polymers,25038-54-4,233,495,,,,,,560,3.05,0,0,,1590,,1130,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1980),Solid; Tg~323K Tm~495K
167,"Nylon 6,6 (PA66)",(C12H22N2O2)n,Polymers,32131-17-2,233,540,,,,,,555,3.15,0,0,,1670,,1140,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1980),Solid; Tg~323K Tm~540K
168,POM (Polyoxymethylene),(CH2O)n,Polymers,9002-81-7,233,450,,,,,,515,3.2,0,0,,1459,,1410,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Gaur & Wunderlich (1981),Solid; Tg~218K Tm~453K
169,PEEK,(C19H12O3)n,Polymers,29658-26-2,298,620,,,,,,562,2.1,0,0,,1300,,1320,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014 / Cheng et al. (1984),Solid; Tg~416K Tm~617K
170,Epoxy Resin (cured),variable,Polymers,,233,430,,,,,,440,2.4,0,0,,1050,,1200,Touloukian TPMD Vol.3; DiBenedetto (1987),Crosslinked; Tg~390K
171,PLA (Polylactic Acid),(C3H4O2)n,Polymers,26100-51-6,298,430,,,,,,812,2.65,0,0,,1800,,1240,Pyda et al. (2004) J.Polym.Sci.B; ATHAS,Solid; Tg~330K Tm~433K
172,PVA (Polyvinyl Alcohol),(C2H4O)n,Polymers,9002-89-5,298,500,,,,,,741,2.2,0,0,,1720,,1300,ATHAS databank (Wunderlich 1990); SpringerMaterials 2014,Solid; Tg~358K
173,Polyurethane (PU),variable,Polymers,,233,430,,,,,,720,2.7,0,0,,1800,,1200,Touloukian TPMD Vol.3; Mark Polymer Data Handbook (1999),Flexible foam/elastomer
174,Carbon Fibre (PAN-based),C,Composites,7440-44-0,298,2300,,,,,,254,1.52,-0.00038,0,,711,,1800,Pradere & Sauder (2008) Carbon 46(14),PAN-derived CF
175,SiC Fibre (Nicalon),SiC,Composites,409-21-2,298,1700,,,,,,368,0.8,0,0,,750,,2600,Kumagawa et al. (1998) Ceram.Eng.Sci.Proc.,Nicalon NL-200
176,Stabilized Zirconia (YSZ 8%),ZrO2-Y2O3,Ceramics,,298,2500,,,,,,361,0.242,-3.50E-05,0,,472,,5600,Touloukian TPMD Vol.5; Guo (2009) J.Eur.Ceram.Soc.,8 mol% YSZ cubic
177,Mullite (3Al₂O₃·2SiO₂),Al6Si2O13,Ceramics,1302-93-8,298,1800,,,,,,608,0.377,-4.10E-05,0,,751,,3160,Touloukian TPMD Vol.5; Schneider (2008),Cp=608+0.377T-4.1e-5*T^2
178,Cordierite (Mg₂Al₄Si₅O₁₈),Mg2Al4Si5O18,Ceramics,1302-44-9,298,1740,,,,,,501,0.435,-6.00E-05,0,,685,,2600,Touloukian TPMD Vol.5; Schneider (2008),Low thermal expansion ceramic
179,Dolomite (CaMg(CO₃)₂),CaMg(CO3)2,Refractories,17069-72-6,298,1000,,,,,,667,0.42,-9.00E-05,0,,880,,2860,Robie & Hemingway (1995) USGS Bulletin 2131,Decomposes on heating
180,Silicon Oxycarbide (SiOC),SiOxCy,Refractories,,298,1600,,,,,,820,0.33,0,0,,1100,,2200,Scarmi et al. (2005) J.Non-Cryst.Sol.,Amorphous
181,Lithium Aluminosilicate (LAS),Li2O·Al2O3·nSiO2,Refractories,,298,1800,,,,,,780,0.32,-4.20E-05,0,,1040,,2600,Schott CERAN; Petzoldt & Pannhorst (1992),Glass-ceramic
182,"Carbon Fibre Reinforced Polymer (CFRP, epoxy)",C/Epoxy,Composites,,223,450,,,,,,350.0696345,1.424237109,0.00168337,-1.32E-07,0.999992,920.49,,1600,ASM Handbook Vol.21 (Composites) — Touloukian TPMD,"Unidirectional CFRP, in-plane, cured epoxy matrix"
183,"Glass Fibre Reinforced Polymer (GFRP, epoxy)",Glass/Epoxy,Composites,,223,450,,,,,,-75.39459394,4.842271675,-0.00799421,8.40E-06,1,879.91,,1900,ASM Handbook Vol.21 (Composites) — Touloukian TPMD,"E-glass fibre, epoxy matrix, in-plane"
184,Aluminium Metal Matrix Composite (Al/SiC),Al/SiCp,Composites,,298,800,,,,,,594.4168701,0.975127854,-0.000374527,-6.81E-08,0.999998,849.94,,2900,ASM Handbook Vol.21 — Touloukian TPMD,"Al 6061 matrix, 20 vol% SiC particulate"
185,Carbon-Carbon Composite (C/C),C/C,Composites,7440-44-0,298,2000,,,,,,-14.86854211,2.874895227,-0.001537885,2.92E-07,0.999917,713.01,,1800,Touloukian TPMD Vol.13 — NASA Glenn thermodynamic tables,"2D woven carbon-carbon, aerospace grade"
186,"Kevlar Fibre Reinforced Polymer (KFRP, epoxy)",Aramid/Epoxy,Composites,,223,450,,,,,,-313.1252733,7.870318538,-0.0136974,1.26E-05,0.999956,1148.57,,1380,ASM Handbook Vol.21 — PoLyInfo (NIMS),"Kevlar-49 fibre, epoxy matrix, in-plane"
187,Stainless Steel (AISI 304),Fe-Cr-Ni,Metals & Alloys,,298,1173,,,,,,458.9103679,0.116727863,7.60E-05,-3.13E-08,0.999939,499.61,,8000,ASM Handbook Vol.1 — Touloukian TPMD,"Austenitic stainless steel, 18Cr-8Ni"
188,"Zirconia (ZrO₂, stabilised)",ZrO2,Ceramics,1314-23-4,298,1500,,,,,,315.0289579,0.5951651,-0.000437402,1.19E-07,0.999451,456.69,123.22,5680,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Yttria-stabilised, cubic phase"
189,"Boron Nitride (BN, hexagonal)",BN,Ceramics,10043-11-5,298,1400,,,,,,274.4354048,2.12346159,-0.001299666,3.10E-07,1,800.01,24.82,2100,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Hexagonal (h-BN)
190,Titanium Carbide (TiC),TiC,Ceramics,12070-08-5,298,1500,,,,,,324.7507804,0.96517329,-0.000748491,2.08E-07,0.998887,551.41,59.88,4930,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Sintered
191,Polystyrene (PS),(C8H8)n,Polymers,9003-53-6,223,370,,,,,,511.268097,5.624890982,-0.024114774,4.36E-05,1,1200,,1050,PoLyInfo (NIMS) — ATHAS Polymer Thermodynamics Database,"Amorphous, solid"
192,Polymethyl Methacrylate (PMMA),(C5H8O2)n,Polymers,9011-14-7,223,380,,,,,,-752.234338,12.97427529,-0.028054123,3.01E-05,1,1420,,1180,PoLyInfo (NIMS) — ATHAS Polymer Thermodynamics Database,"Amorphous, solid (acrylic)"
193,"Polytetrafluoroethylene (PTFE, Teflon)",(C2F4)n,Polymers,9002-84-0,223,550,,,,,,-178.0807902,7.883213113,-0.016508304,1.29E-05,0.998841,1045.34,,2200,PoLyInfo (NIMS) — ATHAS Polymer Thermodynamics Database,"Semi-crystalline, solid"
194,Zinc Oxide (ZnO) SC,ZnO,Semiconductors,1314-13-2,298,1200,,,,,,319.5726747,0.776387769,-0.000715023,2.48E-07,1,494,81.38,5606,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Wurtzite, wide-bandgap semiconductor"
195,Cadmium Sulfide (CdS) SC,CdS,Semiconductors,1306-23-6,298,1000,,,,,,253.0814897,0.352320335,-0.000293531,1.13E-07,1,335,144.47,4820,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Wurtzite, direct-gap semiconductor"
196,Chalcogenide Glass (As₂Se₃),As2Se3,Glasses,1303-36-2,200,450,,,,,,259.6301889,-0.239390949,0.002462016,-2.53E-06,1,340,386.7,4640,SpringerMaterials — Touloukian TPMD,"Amorphous chalcogenide, IR-transmitting glass"
197,Molybdenum Disilicide (MoSi₂),MoSi2,Refractories,12136-78-6,298,1800,,,,,,233.8540917,0.774279929,-0.00052233,1.26E-07,0.999205,421.54,152.11,6240,NIST-JANAF (Chase 1998) — ASM Handbook,High-temperature heating-element refractory
198,Boron Fibre Reinforced Aluminium (Al/B),Al/B,Composites,,298,700,,,,,,713.3943168,0.612175403,-0.000151315,-8.02E-08,0.99968,880.26,,2650,ASM Handbook Vol.21 (Composites) — Touloukian TPMD,"Boron fibre, aluminium 6061 matrix, aerospace grade"
199,Alumina Fibre Reinforced Titanium (Ti/Al₂O₃),Ti/Al2O3,Composites,,298,900,,,,,,469.1509435,0.527879003,-0.000328812,1.06E-07,0.999983,600.06,,4100,ASM Handbook Vol.21 — Touloukian TPMD,"Continuous alumina fibre, titanium alloy matrix"
200,SiC/SiC Ceramic Matrix Composite,SiC/SiC,Composites,,298,1600,,,,,,308.5279492,1.367338296,-0.000793508,1.70E-07,1,650.02,,2700,Touloukian TPMD Vol.13 — NASA Glenn thermodynamic tables,"Continuous SiC fibre, SiC matrix, aerospace/turbine grade"
201,Natural Fibre Composite (Flax/Epoxy),Flax/Epoxy,Composites,,223,420,,,,,,96.05665394,4.915414803,-0.002627491,-1.04E-06,1,1300,,1350,PoLyInfo (NIMS) — ASM Handbook Vol.21,"Flax fibre, epoxy matrix, bio-composite"
202,Fluorozirconate Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,,200,550,,,,,,203.993661,1.102721406,-0.001257633,7.21E-07,1,440,,4330,SpringerMaterials — Touloukian TPMD,"Heavy-metal fluoride glass, IR fibre optics"
203,Chalcogenide Glass (Ge₂₈Sb₁₂Se₆₀),Ge28Sb12Se60,Glasses,,200,500,,,,,,166.1607811,0.803972579,-0.000768079,4.71E-07,1,350,,4600,SpringerMaterials — Touloukian TPMD,"Amorphous chalcogenide, IR-transmitting glass"
204,Selenium (Se),Se,Others,7782-49-2,298,490,,,,,,189.6561712,0.541618346,-0.000443332,3.52E-07,1,321,78.971,4810,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, grey trigonal phase"
205,"Phosphorus (red, solid)",P,Others,7723-14-0,298,700,,,,,,590.46131,0.793813612,-0.000772835,4.01E-07,1,769,30.974,2340,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, red allotrope"
206,Inconel 718 (Ni-Cr superalloy),Ni-Cr-Fe-Nb,Metals & Alloys,,298,1300,,,,,,400.2218214,0.089260763,0.000111456,-3.83E-08,0.998996,435.71,,8190,ASM Handbook Vol.1 — Touloukian TPMD,"Nickel-based superalloy, aerospace/turbine grade"
207,Lead Sulfide (PbS) SC,PbS,Semiconductors,1314-87-0,298,900,,,,,,162.7450525,0.17279627,-0.000115033,3.69E-08,1,205,239.3,7600,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Galena structure, narrow-gap IR semiconductor"
208,Vanadium,V,Metals & Alloys,7440-62-2,298,1000,,,,,,481.022882,-0.040958477,0.000270715,-1.46E-07,1,489,50.942,6110,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, bcc phase"
209,Platinum,Pt,Metals & Alloys,04-06-7440,298,1200,,,,,,125.4582453,0.025319308,6.01E-07,-2.15E-09,1,133,195.08,21450,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
210,Silver,Ag,Metals & Alloys,7440-22-4,298,1200,,,,,,207.0467732,0.109916152,-6.30E-05,3.00E-08,1,235,107.868,10490,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
211,"Tin (white, beta)",Sn,Metals & Alloys,7440-31-5,298,505,,,,,,187.331411,0.179675778,-0.000206543,2.07E-07,1,228,118.71,7310,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, white/beta tetragonal phase"
212,Boron Carbide (B₄C),B4C,Ceramics,12069-32-8,298,1600,,,,,,311.7555627,2.661078434,-0.00183825,4.68E-07,0.99953,953.91,55.25,2520,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Sintered, ultra-hard ceramic"
213,Aluminium Titanate (Al₂TiO₅),Al2TiO5,Ceramics,12004-39-6,298,1500,,,,,,444.1436541,1.323236857,-0.001070886,3.06E-07,0.999396,751.45,181.88,3700,NIST-JANAF (Chase 1998) — Touloukian TPMD,"Sintered, low-thermal-expansion ceramic"
214,"Polyvinyl Chloride (PVC, rigid)",(C2H3Cl)n,Polymers,9002-86-2,223,350,,,,,,846.845843,-0.837478199,0.002694409,5.04E-06,1,970,,1400,PoLyInfo (NIMS) — ATHAS Polymer Thermodynamics Database,"Amorphous, rigid unplasticised PVC"
